transacao_id,valor,hora,merchant_category,device_type,hist_compras_30d,tempo_conta_dias,fraude
1,125.86,21,alimentacao,mobile,61,1677,0
2,28.67,18,saude,desktop,18,2168,0
3,205.51,16,vestuario,desktop,59,889,0
4,253.31,5,vestuario,mobile,3,2995,0
5,10.53,14,servicos,desktop,63,1331,0
6,21.49,19,alimentacao,atm,32,2271,0
7,103.61,1,vestuario,tablet,65,1518,0
8,63.57,4,servicos,desktop,66,2870,0
9,88.37,12,alimentacao,mobile,45,2003,0
10,35.22,8,saude,mobile,78,2210,0
11,236.83,17,servicos,mobile,75,2323,0
12,211.78,9,saude,tablet,56,990,0
13,96.8,23,servicos,desktop,39,1047,0
14,311.05,7,alimentacao,atm,74,2481,0
15,150.54,8,vestuario,mobile,77,1386,0
16,34.98,0,alimentacao,atm,32,1999,0
17,135.05,5,servicos,atm,25,1554,0
18,31.35,5,alimentacao,desktop,24,100,0
19,236.58,18,servicos,tablet,74,1413,0
20,85.21,8,alimentacao,mobile,12,518,0
21,73.45,4,alimentacao,mobile,0,261,0
22,42.56,7,alimentacao,mobile,40,784,0
23,345.43,13,servicos,mobile,76,878,0
24,75.95,18,alimentacao,mobile,26,2230,0
25,56.2,23,alimentacao,desktop,40,757,0
26,61.11,1,alimentacao,mobile,8,2391,0
27,161.67,20,transporte,mobile,65,631,0
28,134.56,9,saude,mobile,74,2480,0
29,141.74,19,eletronicos,desktop,50,1578,0
30,144.59,0,alimentacao,atm,9,202,0
31,949.38,15,alimentacao,mobile,7,332,0
32,57.57,22,alimentacao,desktop,59,217,0
33,51.24,0,transporte,atm,10,1231,0
34,36.78,18,alimentacao,desktop,5,899,0
35,177.25,2,alimentacao,desktop,71,139,0
36,311.65,23,alimentacao,desktop,42,2044,0
37,79.41,17,transporte,atm,47,2559,0
38,35.72,21,servicos,mobile,53,2526,0
39,36.35,21,alimentacao,desktop,27,452,0
40,184.13,7,vestuario,mobile,18,2608,0
41,203.89,9,vestuario,mobile,41,1277,0
42,163.61,16,servicos,desktop,6,623,0
43,43.29,4,alimentacao,tablet,23,401,0
44,116.21,7,servicos,tablet,47,2302,0
45,102.35,2,servicos,atm,75,769,0
46,114.5,21,saude,desktop,48,1922,0
47,234.76,5,servicos,mobile,60,1663,0
48,115.12,9,alimentacao,atm,24,2780,0
49,189.96,10,saude,mobile,4,2147,0
50,96.96,9,servicos,mobile,30,2318,0
51,123.72,18,alimentacao,mobile,55,1478,0
52,180.26,21,alimentacao,desktop,3,1586,0
53,18.12,13,saude,desktop,69,448,0
54,63.33,20,alimentacao,tablet,23,2349,0
55,53.66,2,servicos,mobile,55,2256,0
56,44.58,23,transporte,tablet,70,925,0
57,66.51,2,servicos,desktop,48,420,0
58,466.12,1,alimentacao,atm,13,2358,0
59,34.73,0,servicos,mobile,20,2313,0
60,261.15,5,eletronicos,desktop,37,2343,0
61,14.14,20,saude,desktop,78,90,0
62,62.28,7,alimentacao,mobile,54,2565,0
63,107.67,18,alimentacao,mobile,49,1080,0
64,171.54,10,alimentacao,mobile,64,727,0
65,196.83,2,alimentacao,mobile,11,1579,0
66,215.44,11,saude,mobile,6,2547,0
67,61.34,5,alimentacao,desktop,46,2445,0
68,54.13,6,alimentacao,desktop,47,507,0
69,231.31,12,servicos,desktop,20,2929,0
70,72.93,18,alimentacao,mobile,50,2315,0
71,22.13,14,alimentacao,mobile,12,2799,0
72,25.88,5,vestuario,desktop,15,2789,0
73,32.74,17,transporte,desktop,71,1576,0
74,155.54,16,servicos,desktop,2,108,0
75,105.28,5,vestuario,desktop,44,218,0
76,192.39,20,alimentacao,atm,67,1878,0
77,56.26,20,vestuario,atm,57,273,0
78,107.17,14,servicos,desktop,35,1979,0
79,179.14,7,transporte,mobile,25,310,0
80,64.05,8,servicos,mobile,4,2445,0
81,148.78,10,transporte,desktop,9,802,0
82,43.46,4,eletronicos,mobile,46,309,0
83,60.38,7,servicos,mobile,42,1021,0
84,59.15,3,alimentacao,mobile,30,2728,0
85,24.16,3,eletronicos,atm,23,1656,0
86,153.8,17,alimentacao,mobile,6,2981,0
